Manufacture,Rev,Buships,Manufacturer,Reel,Frame,DrawingTitle,SubId
UD 5-614 V,4,207324,TPI Composites,35352,I 71,ROTARY BEARING CLASS A WHEEL,171
PE 13-250 K,6,360454,GlobalFoundries,34458,Y 94,AXIAL NUT CLASS B TWO TON,162
FJ 9-301 Q,9,283229,Lockheed Martin,32782,S 66,ROTARY ROLLER CLASS B CHART,189
XR 12-560 H,8,122207,Boeing,32657,H 42,MECHANICAL HOOK CLASS A DRIVE,172
VO 12-311 I,1,209743,GlobalFoundries,37618,Y 40,SAFETY SPACER CLASS B CHART,134
PK 15-956 M,10,363366,GE Appliances,37536,F 95,TURBO RETAINER FRAME WHEEL,168
XO 18-905 S,1,292290,Johnson & Johnson,33259,O 19,AXIAL HOOK UNIT ONE TON,155
RR 11-405 G,10,132055,PepsiCo,32010,E 30,SAFETY HOOK CLASS B CHART,155
WP 14-959 Y,4,218568,TPI Composites,37204,S 2,SAFETY RETAINER FRAME TWO TON,193
XM 16-792 F,10,100304,Boeing,36830,P 20,MAGNETIC HOOK DEVICE DRIVE,108
CH 15-637 J,5,399955,TPI Composites,35346,M 38,AXIAL HOIST CLASS C TWO TON,194
JG 15-922 M,9,238179,Boeing,32473,B 81,MAGNETIC ROLLER UNIT TWO TON,131
VZ 11-311 H,10,280710,TPI Composites,34017,H 15,MECHANICAL NUT UNIT DRIVE,137
AT 10-806 N,3,369213,PepsiCo,35646,L 34,SAFETY BEARING CHAIN ASSEMBLY,165
NF 15-904 V,7,356392,Boeing,34729,T 69,AXIAL PIN CLASS C DRIVE,158
HU 7-864 M,8,256622,General Electric,33948,S 48,MECHANICAL BRAKE CLASS C WHEEL,131
VR 5-269 T,6,221349,Boeing,37759,E 57,TURBO RETAINER DEVICE TWO TON,142
PO 19-232 T,2,374072,Intel Corp,35427,Z 87,ROTARY NUT CLASS C CHART,122
SM 18-449 Z,9,222663,Microsoft,37937,N 41,MECHANICAL BRAKE CLASS B TWO TON,162
UL 14-942 E,2,205776,Microsoft,36987,F 84,MAGNETIC RETAINER CLASS A ASSEMBLY,167
TE 1-136 U,3,152850,TPI Composites,33722,J 2,ROTARY BRAKE CHAIN TWO TON,192
LV 5-152 M,2,361453,GlobalFoundries,36696,W 5,ROTARY PIN CLASS C ONE TON,124
BA 12-928 H,6,256822,General Electric,35189,X 41,MECHANICAL NUT FRAME WHEEL,139
WH 10-325 N,2,219537,PepsiCo,33798,F 88,ROTARY SPACER CLASS A ASSEMBLY,190
TE 7-852 R,8,298886,TPI Composites,36525,N 55,SAFETY RATCHET CLASS B TWO TON,164
UG 7-488 R,8,325661,General Electric,34902,X 63,SAFETY ROLLER BOX DRIVE,106
CV 12-200 H,3,229626,Intel Corp,37770,E 29,SAFETY RATCHET DEVICE DRIVE,179
MP 16-657 M,5,122942,General Electric,32781,P 27,SAFETY HOOK CLASS B CHART,131
IL 8-545 R,1,291392,Johnson & Johnson,34011,H 38,TURBO PIN DEVICE WHEEL,115
QA 14-600 T,10,210084,Microsoft,32181,T 35,TURBO HOIST FRAME TWO TON,136
MI 5-346 D,4,288796,GlobalFoundries,34821,L 7,MAGNETIC BEARING BOX ONE TON,184
LB 12-638 A,7,181033,Lockheed Martin,33156,V 65,AXIAL BRAKE CLASS C WHEEL,128
IS 6-444 H,4,328403,GE Appliances,32693,C 77,SAFETY RETAINER FRAME ASSEMBLY,140
YP 19-819 H,10,215396,Boeing,34095,A 16,ELECTRICAL RATCHET CLASS B WHEEL,129
UZ 1-865 M,5,376050,GlobalFoundries,35244,Z 96,MECHANICAL PIN CLASS A DRIVE,101
MA 3-689 A,10,306087,Lockheed Martin,32510,W 9,ROTARY SPACER FRAME DRIVE,115
CD 10-801 K,4,332230,PepsiCo,35188,Q 70,AXIAL BRAKE CLASS C ONE TON,137
HB 8-363 D,3,169427,GE Appliances,35823,A 71,SAFETY BRAKE CLASS A DRIVE,152
QJ 15-513 S,3,321322,TPI Composites,33739,Z 7,MECHANICAL ROLLER BOX ONE TON,125
NS 16-812 T,8,113614,GE Appliances,33674,B 60,ROTARY RATCHET UNIT CHART,137
YO 9-792 F,2,280090,Johnson & Johnson,36033,N 17,ROTARY BEARING CLASS A WHEEL,194
TT 14-583 I,3,171403,GE Appliances,32952,M 93,MAGNETIC ROLLER BOX WHEEL,125
VY 16-925 A,4,339157,Boeing,33010,Q 47,MAGNETIC RATCHET UNIT TWO TON,113
GI 11-590 A,3,232134,TPI Composites,34024,V 68,TURBO RATCHET CLASS B WHEEL,139
XC 11-374 L,6,329220,General Electric,34847,X 4,ROTARY HOIST DEVICE ASSEMBLY,166
VU 3-463 C,1,380287,TPI Composites,33486,N 49,MAGNETIC NUT CHAIN TWO TON,197
FZ 15-476 Z,10,321724,Boeing,33007,X 89,MECHANICAL RETAINER CLASS B CHART,136
RU 7-212 F,6,205991,GE Appliances,33819,Z 12,SAFETY HOOK FRAME TWO TON,107
GQ 16-599 L,9,148420,General Electric,36049,L 84,ROTARY SPACER FRAME ASSEMBLY,143
US 5-485 G,3,204493,Microsoft,33707,W 66,MECHANICAL SPACER FRAME DRIVE,194
EY 3-340 N,7,371606,Intel Corp,36993,K 83,ROTARY NUT FRAME TWO TON,157
NN 7-461 Z,3,187286,Boeing,37643,X 66,SAFETY BRAKE UNIT DRIVE,136
BK 5-179 H,9,339586,Intel Corp,32188,X 87,MAGNETIC BEARING CLASS B WHEEL,119
XL 2-406 V,1,151021,Microsoft,33367,G 6,TURBO RATCHET DEVICE ONE TON,136
HL 6-980 Y,7,179091,Boeing,34897,O 94,AXIAL NUT CLASS A TWO TON,157
QR 12-608 Y,6,361310,Lockheed Martin,34910,T 20,TURBO NUT BOX ASSEMBLY,171
ZD 15-942 G,1,285279,GE Appliances,32544,J 75,SAFETY ROLLER CHAIN ONE TON,199
KW 14-301 J,7,380192,GE Appliances,33817,R 65,ELECTRICAL HOOK CLASS B WHEEL,107
SC 18-924 C,1,123480,Boeing,36138,D 23,MAGNETIC HOOK CLASS C DRIVE,151
XQ 10-648 N,8,382941,Microsoft,33342,K 75,MECHANICAL BEARING CLASS C DRIVE,126
AR 3-448 Y,7,217589,Lockheed Martin,33549,W 32,MECHANICAL HOOK CLASS B DRIVE,133
FO 12-750 C,8,386827,Microsoft,32379,Y 64,ROTARY PIN FRAME ASSEMBLY,110
PS 5-239 V,1,226872,Microsoft,36843,V 3,AXIAL RETAINER CLASS B ASSEMBLY,185
WB 9-638 A,1,152003,Microsoft,37509,Y 38,AXIAL ROLLER CLASS C WHEEL,120
MQ 10-780 E,2,366281,PepsiCo,37524,L 37,ROTARY ROLLER UNIT DRIVE,169
DD 10-150 L,8,307320,Johnson & Johnson,37528,A 2,ELECTRICAL BEARING BOX ASSEMBLY,169
DC 5-120 I,9,236604,Intel Corp,37071,Q 84,MAGNETIC NUT CLASS A DRIVE,122
CZ 2-373 O,6,170693,Johnson & Johnson,36958,G 67,MECHANICAL PIN CLASS C CHART,188
BZ 16-248 O,5,394759,General Electric,34852,L 86,MECHANICAL NUT DEVICE CHART,174
NS 1-496 K,1,335992,Lockheed Martin,32486,R 37,SAFETY NUT FRAME ASSEMBLY,180
SP 16-781 X,8,382693,Johnson & Johnson,33748,V 45,MECHANICAL PIN UNIT ASSEMBLY,186
XK 7-301 R,9,320926,TPI Composites,36428,X 2,MAGNETIC RETAINER FRAME ONE TON,116
VD 16-434 Y,10,121323,General Electric,36004,Q 55,ELECTRICAL HOOK CLASS C WHEEL,192
UI 3-694 I,9,334009,PepsiCo,37220,O 55,ELECTRICAL SPACER CLASS C WHEEL,124
MT 14-597 N,9,214386,Boeing,37573,X 36,TURBO BEARING CLASS C TWO TON,124
CK 5-189 C,7,124641,Microsoft,35886,P 21,ROTARY BEARING BOX TWO TON,162
QS 6-245 V,10,349910,Intel Corp,35975,F 29,ROTARY ROLLER FRAME ONE TON,144
GL 1-153 U,2,111916,Boeing,37045,I 58,ROTARY HOIST CLASS C WHEEL,187
FB 1-125 Z,9,215911,Microsoft,36974,Y 67,AXIAL NUT CLASS C CHART,131
YK 18-537 Z,6,261887,Microsoft,36392,B 70,ELECTRICAL ROLLER CLASS C WHEEL,110
RF 7-296 R,3,367058,GlobalFoundries,32852,O 74,AXIAL ROLLER CLASS A WHEEL,136
EJ 1-747 D,5,241989,Microsoft,34137,M 77,MAGNETIC PIN DEVICE TWO TON,147
YV 4-756 B,1,283766,GE Appliances,35129,G 51,MAGNETIC BRAKE CHAIN WHEEL,118
QM 14-350 Y,3,171274,Intel Corp,37433,C 55,ELECTRICAL SPACER CLASS A ONE TON,101
VC 18-155 Z,9,235236,Johnson & Johnson,34377,K 96,AXIAL BEARING DEVICE CHART,156
ZM 15-748 S,1,188610,Intel Corp,35535,P 57,ROTARY RATCHET DEVICE WHEEL,101
WF 2-726 V,9,219167,Johnson & Johnson,32096,P 56,AXIAL HOOK CHAIN ASSEMBLY,185
FW 13-941 G,1,235475,GlobalFoundries,35079,N 95,AXIAL NUT CLASS A DRIVE,156
EW 17-762 U,9,282739,Johnson & Johnson,37947,B 36,AXIAL NUT CLASS B CHART,138
NR 8-236 D,3,271358,Lockheed Martin,32443,B 95,MAGNETIC BRAKE UNIT WHEEL,131
MC 13-417 K,3,378963,Boeing,34985,Z 38,MAGNETIC RETAINER FRAME ASSEMBLY,115
OF 1-975 L,10,284450,GlobalFoundries,37545,I 54,AXIAL HOOK DEVICE DRIVE,118
RH 6-208 Z,4,369328,PepsiCo,37417,C 97,AXIAL PIN FRAME DRIVE,164
LG 6-581 X,5,358345,Johnson & Johnson,33957,N 20,TURBO NUT DEVICE DRIVE,152
CB 9-660 U,10,174889,General Electric,37540,W 30,AXIAL BEARING DEVICE ONE TON,134
BJ 16-786 K,9,398411,Intel Corp,36045,H 20,MECHANICAL SPACER FRAME WHEEL,141
GW 15-390 T,4,269940,PepsiCo,32068,H 69,ROTARY ROLLER UNIT TWO TON,196
MY 4-525 W,7,226621,Microsoft,34381,P 39,AXIAL HOIST BOX DRIVE,196
BZ 13-218 L,3,121379,General Electric,36452,B 63,ROTARY HOOK CHAIN DRIVE,117
MC 17-798 F,1,334286,GE Appliances,37416,G 5,ELECTRICAL NUT FRAME ONE TON,112
IH 16-410 O,6,156904,Microsoft,35452,B 68,MAGNETIC RETAINER CHAIN ONE TON,140
QL 5-604 Y,7,168016,General Electric,34477,U 62,TURBO PIN CLASS B DRIVE,188
OP 10-125 Z,7,366017,Intel Corp,32705,Y 34,MECHANICAL RETAINER DEVICE ASSEMBLY,103
AH 13-162 P,6,257271,Intel Corp,35774,K 65,MECHANICAL HOIST DEVICE ONE TON,152
TZ 3-785 T,7,244368,Intel Corp,34738,F 64,ROTARY HOOK CHAIN DRIVE,181
KC 13-809 M,9,155077,Boeing,36385,Q 53,ROTARY ROLLER CLASS C TWO TON,131
HC 14-240 B,7,271662,PepsiCo,37294,X 17,ELECTRICAL HOIST UNIT ONE TON,167
GE 2-622 Q,3,317000,General Electric,35276,B 28,AXIAL BRAKE CHAIN CHART,196
BG 10-835 P,2,315692,GE Appliances,32463,P 14,MECHANICAL ROLLER UNIT CHART,128
QO 12-206 N,8,326404,Boeing,34280,I 14,ELECTRICAL RATCHET FRAME ONE TON,190
NJ 11-296 B,1,291623,Intel Corp,36344,X 28,AXIAL HOOK CLASS A ASSEMBLY,186
JO 13-521 S,10,273987,Microsoft,34154,M 31,TURBO BRAKE CHAIN TWO TON,148
AH 11-452 I,9,149150,Johnson & Johnson,37812,R 40,SAFETY ROLLER CLASS C TWO TON,169
RG 14-268 F,3,237823,General Electric,35849,G 47,ROTARY NUT CLASS C ASSEMBLY,149
AJ 16-683 L,6,176550,TPI Composites,36428,J 38,ELECTRICAL RATCHET CLASS A DRIVE,181
OT 7-952 J,2,137043,Lockheed Martin,35532,U 54,ROTARY ROLLER UNIT WHEEL,115
NG 18-532 S,4,188138,General Electric,37116,T 56,MAGNETIC SPACER FRAME TWO TON,108
FO 2-359 P,8,393039,GE Appliances,35178,P 54,TURBO BRAKE CLASS B TWO TON,106
WX 12-309 M,4,238236,General Electric,35665,E 91,AXIAL NUT DEVICE DRIVE,145
CB 19-361 A,5,173726,Lockheed Martin,33432,B 38,ROTARY ROLLER BOX WHEEL,125
YT 12-857 N,4,165415,General Electric,32219,E 25,MECHANICAL RATCHET CLASS B CHART,194
HK 15-418 L,10,188204,GlobalFoundries,37945,D 56,MECHANICAL SPACER CLASS C ONE TON,107
LP 1-188 L,3,237584,GE Appliances,35236,F 80,ROTARY PIN DEVICE ASSEMBLY,132
JG 7-580 O,6,116988,GE Appliances,33170,J 36,MAGNETIC BRAKE CLASS A ASSEMBLY,104
EV 12-451 O,9,331285,Boeing,35011,R 43,MAGNETIC PIN UNIT WHEEL,185
IL 7-628 W,1,170589,GlobalFoundries,37567,K 62,MECHANICAL RETAINER CLASS C ONE TON,160
HC 18-571 E,8,267354,Lockheed Martin,35622,A 17,ROTARY PIN DEVICE ASSEMBLY,196
FP 15-362 F,3,269250,General Electric,36541,T 94,TURBO SPACER CLASS B ASSEMBLY,189
OX 8-346 V,3,288646,General Electric,33613,A 25,SAFETY RETAINER CHAIN TWO TON,133
CY 11-166 O,8,383811,Johnson & Johnson,32276,N 1,AXIAL BEARING CLASS B DRIVE,196
TK 17-768 E,8,297116,Boeing,34103,J 71,ELECTRICAL RETAINER CHAIN DRIVE,130
ED 1-440 V,3,306674,General Electric,36675,B 6,ROTARY RATCHET CLASS B CHART,113
NJ 12-146 G,2,225122,GE Appliances,33550,N 19,AXIAL PIN UNIT TWO TON,166
WE 8-830 B,4,255952,TPI Composites,34381,C 57,MECHANICAL BEARING CHAIN CHART,163
LI 18-792 H,9,124043,Johnson & Johnson,34347,W 31,TURBO ROLLER CLASS C CHART,157
LU 19-455 P,10,136910,General Electric,34631,Q 16,ROTARY NUT BOX WHEEL,148
IV 16-262 D,7,186442,Microsoft,32640,E 62,MAGNETIC RETAINER BOX TWO TON,111
EC 1-185 S,7,115298,PepsiCo,32537,V 85,TURBO NUT UNIT TWO TON,148
JX 19-858 A,3,244587,GE Appliances,33286,O 85,MECHANICAL HOOK CLASS C ASSEMBLY,158
HQ 19-316 K,1,314733,General Electric,36703,X 91,SAFETY NUT UNIT ASSEMBLY,183
CO 15-745 Y,2,100479,Johnson & Johnson,34195,I 34,MAGNETIC PIN FRAME CHART,154
VZ 19-307 B,10,399206,TPI Composites,33449,K 28,SAFETY ROLLER CHAIN CHART,169
MR 13-951 I,1,280233,GE Appliances,37070,D 89,MECHANICAL HOIST CLASS A ASSEMBLY,146
FL 10-952 J,3,201499,PepsiCo,34547,P 15,MECHANICAL HOOK BOX DRIVE,121
KP 8-903 E,5,236675,GlobalFoundries,36911,Y 78,AXIAL NUT DEVICE TWO TON,158
XK 11-682 A,5,334921,Johnson & Johnson,34739,I 6,SAFETY PIN CHAIN WHEEL,119
SJ 7-857 L,6,305242,TPI Composites,37420,E 36,ELECTRICAL RATCHET CHAIN ASSEMBLY,121
EN 6-995 H,5,387729,Microsoft,37779,U 53,TURBO PIN CLASS C ASSEMBLY,103
OP 12-444 Y,2,118164,TPI Composites,35168,C 40,SAFETY BRAKE DEVICE TWO TON,121
BI 15-379 V,6,358258,Lockheed Martin,36856,R 40,SAFETY HOIST CHAIN WHEEL,103
SM 15-565 G,6,239937,Lockheed Martin,34862,A 34,AXIAL BRAKE CLASS B CHART,101
KE 9-518 T,9,134302,General Electric,32172,B 50,ROTARY BEARING CLASS C TWO TON,184
OQ 18-812 S,6,179233,TPI Composites,36784,B 26,ROTARY SPACER UNIT WHEEL,177
PA 12-929 G,9,219020,PepsiCo,34742,A 8,MECHANICAL RETAINER FRAME ASSEMBLY,130
WK 14-210 B,6,179508,GlobalFoundries,34035,C 96,SAFETY RETAINER DEVICE CHART,116
TQ 4-397 H,7,328333,Lockheed Martin,34195,I 23,SAFETY RATCHET FRAME WHEEL,113
HJ 5-985 B,3,278325,Intel Corp,32138,U 29,MECHANICAL BRAKE CHAIN WHEEL,156
NA 14-651 M,7,316244,GE Appliances,37272,L 35,TURBO HOIST UNIT TWO TON,140
NM 17-584 U,6,140328,Boeing,36772,Y 52,ELECTRICAL BEARING UNIT DRIVE,101
MU 7-603 N,1,228154,General Electric,32235,K 57,TURBO HOOK FRAME ASSEMBLY,125
PP 5-559 A,4,143604,Intel Corp,32257,D 95,ELECTRICAL BRAKE UNIT TWO TON,198
BW 14-758 S,10,339407,Lockheed Martin,34695,L 92,AXIAL ROLLER CLASS B ONE TON,180
HO 1-713 A,4,399699,PepsiCo,37650,Z 12,SAFETY NUT CLASS A ASSEMBLY,100
YL 19-971 E,6,153111,Intel Corp,36637,N 75,TURBO ROLLER BOX TWO TON,197
TZ 8-778 T,6,373303,Boeing,33314,A 12,ROTARY HOOK FRAME ASSEMBLY,192
PF 13-771 Z,2,342728,General Electric,37732,K 88,AXIAL ROLLER DEVICE DRIVE,127
HU 12-663 C,1,394801,Intel Corp,34743,N 87,TURBO PIN CLASS B DRIVE,115
XN 17-689 J,3,136320,Lockheed Martin,35538,C 78,ROTARY BEARING CHAIN DRIVE,130
JD 18-289 X,8,145136,Lockheed Martin,32620,J 49,ELECTRICAL HOOK CLASS B TWO TON,122
PY 6-847 O,2,290952,Boeing,33714,M 69,AXIAL HOIST CLASS C DRIVE,112
FJ 15-891 C,5,107401,General Electric,32642,T 48,AXIAL PIN CLASS B CHART,190
TE 5-393 U,3,121730,Boeing,37324,U 56,MAGNETIC BEARING UNIT DRIVE,185
JM 7-933 Y,1,293462,Microsoft,37336,L 76,ELECTRICAL ROLLER FRAME CHART,131
RQ 10-272 V,10,190192,Intel Corp,34925,D 42,MAGNETIC HOOK FRAME WHEEL,167
CS 1-240 Z,5,294720,GlobalFoundries,32734,O 58,MAGNETIC RETAINER FRAME WHEEL,153
FY 13-757 H,9,367360,Boeing,34245,K 37,ROTARY BRAKE CLASS A ASSEMBLY,139
NE 12-313 H,9,254088,Intel Corp,34335,L 68,ELECTRICAL NUT DEVICE ASSEMBLY,131
AW 2-797 Z,7,275875,TPI Composites,34659,F 51,SAFETY PIN CLASS C ONE TON,144
XZ 6-276 Q,9,394194,Lockheed Martin,33621,O 56,AXIAL RATCHET UNIT TWO TON,154
XU 16-373 N,2,378547,TPI Composites,37943,F 11,ROTARY NUT BOX ASSEMBLY,181
YN 4-480 N,6,361925,Boeing,36444,Z 48,MAGNETIC HOOK BOX TWO TON,117
KV 15-821 G,8,183284,General Electric,34262,P 61,MECHANICAL NUT CLASS A TWO TON,130
GZ 3-971 E,2,182923,PepsiCo,37083,A 74,ROTARY HOOK CLASS A ONE TON,174
TK 13-959 H,2,323624,Lockheed Martin,33036,V 67,MECHANICAL RETAINER BOX WHEEL,182
SS 13-518 Y,7,254141,PepsiCo,34227,K 74,ROTARY BEARING CLASS C DRIVE,117
EF 1-559 O,1,190437,Johnson & Johnson,33934,Y 90,MECHANICAL BRAKE CHAIN CHART,141
CJ 9-568 B,9,259111,Microsoft,36739,Y 69,MAGNETIC RETAINER CLASS C ONE TON,121
SD 18-133 P,5,346365,GlobalFoundries,33101,S 71,SAFETY NUT BOX ONE TON,140
WI 7-653 M,8,215784,Lockheed Martin,37315,R 29,TURBO SPACER CLASS C ASSEMBLY,116
TB 11-588 L,1,330436,PepsiCo,35326,P 96,TURBO NUT CHAIN CHART,161
OH 9-546 M,10,170089,Intel Corp,33498,I 68,ROTARY HOIST UNIT ASSEMBLY,163
LJ 9-679 F,6,393794,Intel Corp,34820,N 22,MAGNETIC RETAINER FRAME WHEEL,138
DD 8-482 J,7,379192,Johnson & Johnson,35793,R 27,TURBO HOIST FRAME ASSEMBLY,125
NN 12-783 E,7,249647,Boeing,33409,V 46,MAGNETIC ROLLER CLASS C TWO TON,189
II 10-615 G,2,166336,Boeing,33277,R 71,TURBO HOIST UNIT WHEEL,140
XN 5-326 F,6,317889,Boeing,32087,U 47,MAGNETIC SPACER BOX ASSEMBLY,115
JI 1-236 R,5,357153,GE Appliances,34765,J 52,TURBO ROLLER CLASS A ASSEMBLY,152
CJ 13-686 M,8,220912,PepsiCo,36806,N 92,TURBO HOOK CLASS A WHEEL,169
QK 1-379 V,3,355020,GE Appliances,35166,E 30,TURBO BEARING BOX ONE TON,140
KU 16-358 Q,5,367217,Microsoft,32917,X 99,TURBO BEARING CLASS C ONE TON,107
AJ 15-453 R,6,149694,Lockheed Martin,33561,W 80,MECHANICAL BRAKE CHAIN TWO TON,143
JE 14-961 X,7,272305,Microsoft,33328,C 46,AXIAL SPACER BOX WHEEL,128
OB 19-895 S,3,234538,TPI Composites,33575,H 29,SAFETY ROLLER DEVICE WHEEL,172
JN 7-931 K,5,371135,TPI Composites,37859,L 31,MECHANICAL HOOK CLASS B ONE TON,143
PD 17-396 C,8,109597,GlobalFoundries,34130,J 20,AXIAL ROLLER UNIT ONE TON,105
FX 19-692 S,5,154962,Intel Corp,35103,F 95,ROTARY PIN CLASS B DRIVE,198
DC 19-953 H,2,363807,Microsoft,36035,X 27,MECHANICAL HOOK CHAIN ONE TON,153
GX 4-948 W,5,274196,Microsoft,32673,U 44,TURBO PIN CHAIN WHEEL,125
CW 4-468 D,7,119869,Microsoft,34187,L 19,MECHANICAL SPACER CLASS B DRIVE,100
WA 11-462 R,5,218680,Lockheed Martin,32688,J 5,ROTARY RATCHET CHAIN ONE TON,104
PC 7-501 D,2,160081,Johnson & Johnson,32918,Q 72,TURBO BEARING CLASS A CHART,171
DI 8-325 R,4,172808,PepsiCo,35607,E 78,TURBO ROLLER DEVICE DRIVE,109
XY 4-979 S,8,300971,Boeing,33429,P 88,MAGNETIC PIN BOX ONE TON,150
TG 14-947 V,6,369313,GlobalFoundries,35025,K 83,SAFETY PIN BOX DRIVE,126
EA 15-281 M,4,252731,Lockheed Martin,36154,L 41,ROTARY BEARING CHAIN DRIVE,145
VN 7-502 U,3,349307,Microsoft,37859,D 58,MAGNETIC BEARING FRAME DRIVE,137
QX 8-878 F,8,180913,Microsoft,36050,Y 40,TURBO ROLLER DEVICE ONE TON,127
CA 13-242 R,5,338091,Microsoft,34469,R 82,MECHANICAL BEARING FRAME CHART,132
VM 14-446 Y,7,360537,GlobalFoundries,32495,Y 99,AXIAL SPACER UNIT TWO TON,172
PT 1-849 C,7,344587,Johnson & Johnson,35852,Q 15,ROTARY SPACER FRAME WHEEL,139
CN 7-726 E,5,216041,TPI Composites,34408,G 41,MECHANICAL RETAINER CHAIN CHART,129
NB 17-661 Z,1,367388,TPI Composites,32540,D 93,MECHANICAL RATCHET CLASS C WHEEL,191
DN 15-412 O,2,255165,GlobalFoundries,36594,U 17,MAGNETIC BEARING DEVICE ONE TON,129
GI 1-156 Z,8,210088,GlobalFoundries,36281,S 91,MAGNETIC BRAKE CLASS C TWO TON,169
QQ 3-136 S,10,346018,GlobalFoundries,32809,A 39,AXIAL SPACER CLASS A WHEEL,179
PL 4-716 M,8,329291,Boeing,36493,B 74,ROTARY ROLLER FRAME DRIVE,128
